time_s,root_q_rad,root_q_deg,j1_q_rad,j2_q_rad,j3_q_rad,j4_q_rad,j1_q_deg,j2_q_deg,j3_q_deg,j4_q_deg,tip_angle_rad,tip_angle_deg,j1_vel_rad_s,j2_vel_rad_s,j3_vel_rad_s,j4_vel_rad_s,j1_tau_nm,j2_tau_nm,j3_tau_nm,j4_tau_nm
0,0,0,0.001268854366,0.0009512044423,0.0006352998477,0.0003176499239,0.0727,0.0545,0.0364,0.0182,0.00317300858,0.1818,0,0,0,0,-0.02791479606,-0.02092649773,-0.01397659665,-0.006988298325
0.002,0.0003061372341,0.01754037146,0.000629428573,0.00141601704,0.0002246905633,0.0006595117158,0.03606360074,0.08113180011,0.01287382098,0.03778723785,0.002929647892,0.1678564597,-0.3197128966,0.2324062989,-0.2053046422,0.1709308959,-0.01352771571,-0.03138478118,-0.004737887751,-0.01468018864
0.012,-0.002667291164,-0.1528245264,0.01134540624,-0.0195317548,0.02683817788,-0.0142913988,0.6500438946,-1.119087116,1.537714323,-0.8188368349,0.004360430528,0.2498342661,0.8879345311,-1.8254169,2.409093271,-1.371478757,-0.05,0.05,-0.05,0.05
0.022,-0.001225775632,-0.07023177035,0.001376171759,0.00532249244,-0.005660245452,0.00394981154,0.07884883367,0.3049563533,-0.3243081754,0.2263075311,0.004988230288,0.2858045427,0.6451544262,2.393416088,-8.563223961,7.009629759,-0.03092093312,-0.05,0.05,-0.05
0.032,0.003373597847,0.1932929184,-0.00446148821,-0.005207194989,0.01649423309,-0.006533428521,-0.2556244448,-0.2983502959,0.9450499425,-0.37433788,0.0002921213722,0.01673732173,-2.099571942,3.293254497,-3.347712042,1.748289851,0.05,0.05,-0.05,0.05
0.042,0.00168579437,0.09658890255,-0.004557212853,0.008024372025,-0.005876131588,0.004616123746,-0.2611090628,0.4597626503,-0.3366775399,0.2644844084,0.00220715133,0.126460456,-4.279496951,9.120970964,-11.413652,5.963199097,0.05,-0.05,0.05,-0.05
0.052,0.002334805718,0.1337745136,-0.005359879416,0.01251385645,-0.01357615995,0.00649500111,-0.3070984692,0.71699116,-0.7778566672,0.3721361515,7.281819164e-05,0.004172175053,-4.710216891,9.12698505,-11.07700179,5.795051495,0.05,-0.05,0.05,-0.05
0.062,0.002205259204,0.1263520451,-0.004113306376,0.01721316495,-0.03388980469,0.02339944048,-0.2356750952,0.9862417037,-1.941742777,1.340689183,0.002609494373,0.1495130143,0.8399160196,0.4089895316,-3.464070629,3.048068951,0.05,-0.05,0.05,-0.05
0.072,0.006605019614,0.3784397475,-0.01776187843,0.03072325087,-0.0331644966,0.01656202642,-1.01768067,1.760312608,-1.900185685,0.9489342138,-0.003641097748,-0.2086195337,-5.672977612,16.35947853,-25.33817546,15.58451039,0.05,-0.05,0.05,-0.05
0.082,-0.0005574394007,-0.03193892499,0.004459513072,-0.007610957876,0.0193815012,-0.01760807829,0.2555112777,-0.4360757643,1.110478219,-1.008868571,-0.001378021896,-0.07895483871,-1.078309975,4.309160438,-7.617582525,4.839024527,-0.05,0.05,-0.05,0.05
0.092,-0.001954497103,-0.1119844351,0.01221534993,-0.02350967271,0.03886687521,-0.02965757345,0.6998879965,-1.347005024,2.226907912,-1.699253789,-0.002085021016,-0.1194629044,1.677832256,-5.105606699,7.841936786,-4.929462429,-0.05,0.05,-0.05,0.05
0.102,0.001178827738,0.06754185414,0.004881412816,-0.0107297299,0.01925871377,-0.01791899887,0.2796843524,-0.6147682385,1.103443018,-1.026683008,-0.004508602179,-0.2583238764,5.99190497,-15.81227001,24.2370298,-15.26294811,-0.05,0.05,-0.05,0.05
0.112,0.003211910739,0.1840289295,-0.006091413295,0.02483367128,-0.04027703254,0.018702964,-0.3490122731,1.422864554,-2.307703976,1.071600902,-0.002831810559,-0.1622507934,2.718188789,-5.17465134,7.039997918,-4.480352497,0.05,-0.05,0.05,-0.05
0.122,0.002116009936,0.1212384387,-0.001616570089,0.01308279262,-0.01876699695,0.002989844962,-0.09262264337,0.7495888012,-1.075269719,0.1713054977,-0.004310929454,-0.2469980635,-0.009819609505,-1.501545141,4.075746448,-2.99091176,0.03557436156,-0.05,0.05,-0.05
0.134,-0.002818073715,-0.1614637303,0.01181265416,-0.003069944583,-0.01120554528,0.005209076991,0.6768152281,-0.1758948679,-0.642030452,0.2984581267,0.002746241281,0.1573480349,6.319278124,-11.68778243,13.4653519,-6.903529493,-0.05,0.05,0.05,-0.05
0.144,0.003393518429,0.1944342837,-0.0161684048,0.04737425316,-0.0630039148,0.03174515172,-0.9263813565,2.714344764,-3.609858411,1.818863214,-5.29147139e-05,-0.00303178978,-3.221009558,8.103762331,-10.74539391,6.222659083,0.05,-0.05,0.05,-0.05
0.154,-0.003861902028,-0.2212706871,0.01537888155,-0.03581929849,0.06153468653,-0.04017775151,0.8811450067,-2.052294629,3.525677832,-2.302015592,0.0009165180836,0.05251261804,-1.120534352,1.810904438,-4.115872826,3.943625278,-0.05,0.05,-0.05,0.05
0.164,-0.0006850341438,-0.03924956526,-0.006216456997,0.03140556547,-0.06460660709,0.05326500128,-0.3561767494,1.799406354,-3.701685915,3.051859769,0.01384750266,0.7934034593,4.597814665,-9.975470374,12.59211224,-6.361549044,0.05,-0.05,0.05,-0.05
0.174,0.0009566835979,0.05481393249,0.002672878774,-0.04306446638,0.08690842241,-0.04443600487,0.1531446729,-2.467412171,4.979485808,-2.545995537,0.002080829937,0.1192227733,-6.301026759,10.14215308,-10.51631124,5.887253453,-0.05,0.05,-0.05,0.05
0.184,0.005771214288,0.3306662214,-0.03996694004,0.07527690848,-0.08571985405,0.06304029373,-2.289936984,4.313049151,-4.911385858,3.61194277,0.01263040813,0.7236690792,2.927608518,-5.211022324,7.927324889,-4.852857969,0.05,-0.05,0.05,-0.05
0.194,-0.007671191685,-0.4395269074,0.01068787706,-0.04125713995,0.08501612397,-0.03860941998,0.6123702475,-2.363859994,4.871065094,-2.212156814,0.01583744111,0.9074185336,-1.343264027,4.002881536,-7.333058389,5.406258092,-0.05,0.05,-0.05,0.05
0.204,-0.006665166036,-0.3818858836,-0.008577779602,0.03582913934,-0.05988955552,0.06314457076,-0.4914705688,2.052858468,-3.431418768,3.617917403,0.03050637497,1.747886534,4.514244105,-9.119697142,11.16916546,-5.767840827,0.05,-0.05,0.05,-0.05
0.214,-0.00502877906,-0.2881278163,-0.0005855610447,-0.03003851702,0.07708872413,-0.02829025104,-0.03355017651,-1.721080248,4.416858541,-1.620911986,0.01817439502,1.04131613,-6.468172561,11.20719214,-12.3039684,6.742610542,0.01935051555,0.05,-0.05,0.05
0.224,-0.007026473774,-0.4025872921,-0.006620921318,0.003238834952,0.0252432468,0.002008935663,-0.379350848,0.1855715733,1.446331503,0.1151035348,0.0238700961,1.367655763,6.712078325,-16.19723238,24.83520209,-15.71900486,0.05,-0.05,-0.05,-0.02847757973
0.234,-0.007034228124,-0.4030315836,-0.009444586957,0.02859144107,-0.02962305737,0.03786995119,-0.5411349719,1.638168903,-1.697276164,2.169788374,0.02739374793,1.569546141,-7.952277917,20.65102294,-30.04822641,17.51447392,0.05,-0.05,0.05,-0.05
0.244,-0.01226629722,-0.7028070611,0.01640937824,-0.04165314749,0.09705587931,-0.05481118191,0.9401881177,-2.386549555,5.560892261,-3.140449394,0.01700092815,0.9740814309,2.884946906,-9.624353272,17.29933393,-12.19114904,-0.05,0.05,-0.05,0.05
0.256,-0.004999927625,-0.2864747508,-0.02145365028,0.07838265015,-0.1005039453,0.06509485195,-1.229203616,4.490995041,-5.758451891,3.729660285,0.02151990651,1.232999819,2.307321709,-0.671934863,-3.700818216,3.094563881,0.05,-0.05,0.05,-0.05
0.266,-0.01253172532,-0.7180149706,0.03207901704,-0.06263901055,0.1015937274,-0.05905502927,1.837992287,-3.588950937,5.820891805,-3.383603936,0.01197870463,0.6863292191,-0.2762918577,-2.883566026,5.036981349,-3.271981674,-0.05,0.05,-0.05,0.05
0.276,0.001945166481,0.1114498298,-0.02356257548,0.07471021977,-0.1125461908,0.07334348542,-1.35003613,4.280580279,-6.448421731,4.202272169,0.01194493893,0.6843945875,-0.9146744412,4.259500559,-7.735032263,4.632432264,0.05,-0.05,0.05,-0.05
0.286,-0.009200934797,-0.5271747314,0.02711720563,-0.03762545783,0.04848822933,-0.03030505428,1.553701435,-2.155779936,2.778170897,-1.736351708,0.007674922848,0.4397406873,0.3375647301,-1.109415505,1.462951861,-1.28070989,-0.05,0.05,-0.05,0.05
0.296,-0.0009592783725,-0.05496260212,-0.003179395864,0.03082853538,-0.04560656061,0.02072732522,-0.1821659644,1.766344966,-2.613063441,1.187588255,0.002769904128,0.1587038162,2.397804453,-8.220425398,14.85760757,-10.40812729,0.05,-0.05,0.05,-0.05
0.306,0.004734871703,0.2712881651,-0.01281290612,0.03108554553,-0.02860853144,0.00251783191,-0.7341254442,1.781070563,-1.639148109,0.144261142,-0.00781806012,-0.4479418488,-2.493460782,7.475481458,-13.88732733,9.489392482,0.05,-0.05,0.05,-0.05
0.316,0.003053155319,0.174932914,0.001296979055,0.008936987313,-0.02779000564,0.01447883593,0.07431142596,0.5120516546,-1.592250036,0.829576191,-0.003077203346,-0.1763107644,0.1593570846,-0.5525976405,-1.300656599,1.887379547,-0.02869289629,-0.05,0.05,-0.05
0.326,0.006229984408,0.356951813,0.002756803031,-0.02270736574,0.02839251215,-0.01713764374,0.1579531786,-1.301036221,1.626771116,-0.9819146569,-0.008695694293,-0.4982265829,4.054074931,-12.34309802,19.69825001,-12.12161231,-0.05,0.05,-0.05,0.05
0.336,0.005692352241,0.3261477589,-0.00674959813,0.02468037186,-0.06338170365,0.04667684216,-0.3867234863,1.414081144,-3.631504117,2.674386057,0.00122591224,0.07023959739,3.66970953,-5.029452003,4.300367979,-1.786238248,0.05,-0.05,0.05,-0.05
0.346,0.004374480989,0.2506392982,-0.003336675334,0.00419955491,-0.008481849213,0.003683951039,-0.1911774142,0.2406167722,-0.4859741624,0.2110748465,-0.003935018597,-0.2254599579,-7.029681739,17.08528977,-23.04821286,13.13232777,0.05,-0.05,0.05,-0.05
0.356,0.0008080557662,0.04629818501,-0.00059687586,0.009095950911,-0.01258046923,0.003952322556,-0.03419846767,0.5211595979,-0.720807791,0.2264514017,-0.0001290716204,-0.007395259103,-4.06578668,11.52235004,-18.60601234,12.11605711,0.0171970556,-0.05,0.05,-0.05
0.366,-0.000153202298,-0.008777845089,0.003778818844,-0.001955558716,-0.004355856791,0.005997396079,0.2165103713,-0.112045261,-0.2495722103,0.3436254834,0.003464799417,0.1985183834,2.585899497,-5.981706275,6.63215026,-2.660538668,-0.05,0.04900399802,0.05,-0.05
0.376,0.001283691185,0.07355008711,-0.003680886205,0.00185100621,0.007846153336,-0.00439503999,-0.2108992444,0.1060548437,0.4495514716,-0.2518172422,0.001621233351,0.09288982862,4.018051278,-9.506026832,14.85217948,-9.336151751,0.05,-0.03121610978,-0.05,0.05
0.386,0.001691603747,0.09692175532,-0.005966886479,0.003996444193,0.004925426172,0.0002804167971,-0.3418774121,0.2289793853,0.2822061319,0.01606669898,0.003235400683,0.1853748041,-3.290435786,5.13958303,-4.430638063,2.007982801,0.05,-0.05,-0.05,-0.008177152337
0.396,-0.002158856435,-0.1236933623,0.003066667522,-0.001648798055,0.003679552541,0.002147897129,0.1757071062,-0.09446916984,0.2108228311,0.1230654403,0.007245319136,0.4151262077,2.684961507,-5.598271545,8.303522775,-5.552499621,-0.05,0.04187182876,-0.05,-0.04170123722
0.406,-0.0009738678324,-0.0557985166,0.003652739106,-0.006345466584,0.0144702004,-0.009468660726,0.2092865345,-0.3635684543,0.8290814119,-0.5425142973,0.002308812201,0.1322851948,0.8284327372,-5.12127378,8.546519849,-5.293716035,-0.05,0.05,-0.05,0.05
0.416,0.0003228082477,0.01849555018,0.006362282551,-0.01663954589,0.02160043885,-0.01044125283,0.3645319382,-0.9533757522,1.237613982,-0.5982397202,0.0008819226859,0.05053044776,1.280587017,-6.278034511,12.82975599,-9.136541324,-0.05,0.05,-0.05,0.05
0.426,-0.001344956566,-0.07706033484,0.008899352672,-0.02174723564,0.03870229517,-0.02642966326,0.5098953485,-1.246024818,2.217478171,-1.514308159,-0.0005752510603,-0.03295945792,6.634619438,-15.14454079,20.68835791,-11.92225925,-0.05,0.05,-0.05,0.05
0.436,0.0003432856495,0.01966881888,-0.0005863940707,0.0153622041,-0.04234577702,0.03541178687,-0.03359790538,0.8801894589,-2.426234303,2.028945933,0.007841819882,0.449303183,2.977716372,-5.575792832,5.746144117,-2.423727021,0.009922953182,-0.05,0.05,-0.05
0.446,0.002636627602,0.1510676337,-0.007242222904,0.01119683064,-0.01145737172,0.008897792694,-0.4149488067,0.6415311393,-0.6564590437,0.5098059684,0.001395028709,0.07992925731,-3.183898789,5.67414044,-4.204287074,0.9359585756,0.05,-0.05,0.05,-0.05
0.456,-0.004378523778,-0.250870933,0.01088663044,-0.01587898292,0.02878806243,-0.02004919339,0.6237579774,-0.9097987045,1.649434478,-1.148734164,0.003746516555,0.2146595865,3.191744357,-9.944560608,17.08554639,-11.2697738,-0.05,0.05,-0.05,0.05
0.466,-0.002405415131,-0.137820135,0.007958325103,-0.01710074118,0.02740356377,-0.01442982752,0.4559784404,-0.9798002964,1.570108548,-0.8267682159,0.003831320174,0.219518476,3.13217929,-10.13034558,14.11886336,-7.402611383,-0.05,0.05,-0.05,0.05
0.476,0.0001382429768,0.007920739116,0.006833164162,-0.02617950803,0.02901459379,-0.00387677,0.3915114672,-1.49997532,1.662413768,-0.2221225591,0.005791479922,0.3318273567,0.8507015287,-4.190900524,8.075613585,-5.339646631,-0.05,0.05,-0.05,0.05
0.486,-0.0009365788748,-0.05366201671,0.0005236668908,-0.01154205104,0.03342958167,-0.02033821188,0.03000390271,-0.6613108117,1.915373941,-1.165293704,0.002072985641,0.1187733282,2.006085078,-2.175900841,3.966949437,-3.611136524,-0.01352675668,0.05,-0.05,0.05
0.496,-0.007061365548,-0.4045864435,0.01761731916,-0.02536081729,0.03465768565,-0.01977089195,1.009398034,-1.453067796,1.985739115,-1.132788666,0.007143295563,0.4092806876,1.755163656,-9.953187103,20.25463886,-14.2531582,-0.05,0.05,-0.05,0.05
0.508,-0.0009163358007,-0.05250217399,-0.009106426684,0.02159348347,-0.001979524187,-0.0116896824,-0.5217598154,1.237215468,-0.1134183814,-0.6697694656,-0.001182149806,-0.06773219463,4.919227505,-12.96075432,22.01990763,-14.90887252,0.05,-0.05,0.02152962448,0.05
0.518,-0.001232717609,-0.07062951631,-0.007632847035,0.03593806531,-0.05686819329,0.03570309066,-0.4373299208,2.059099466,-3.258307464,2.045636411,0.007140115643,0.4090984916,-3.585681847,14.84427935,-30.75791907,22.16028696,0.05,-0.05,0.05,-0.05
0.528,-0.003554802558,-0.2036751836,0.02577956346,-0.061970439,0.06282708729,-0.02058061741,1.477060184,-3.55064461,3.599726941,-1.179182517,0.006055594337,0.346959998,1.446277871,-12.45603002,23.45866517,-15.08994242,-0.05,0.05,-0.05,0.05
0.538,0.01312674111,0.7521068644,-0.03283692497,0.04432864862,-0.06780515905,0.05357323622,-1.881417213,2.539844477,-3.884949443,3.06952033,-0.002740199183,-0.1570018482,-3.650070566,9.267119157,-11.59338438,5.773245725,0.05,-0.05,0.05,-0.05
0.548,0.002867566947,0.1642994835,0.007047746927,-0.05346106298,0.09879020641,-0.06271077792,0.403806154,-3.063093277,5.660261885,-3.593062905,-0.01033388756,-0.5920881434,1.410704898,-2.272782059,3.776985406,-3.172962256,-0.05,0.05,-0.05,0.05
0.558,0.003125793476,0.1790947738,-0.02177255574,0.0727267175,-0.1160335396,0.06785033503,-1.247475553,4.166933971,-6.648232099,3.887537836,0.002770957223,0.1587641541,1.986161436,2.215189803,-7.060535144,4.32384272,0.05,-0.05,0.05,-0.05
0.568,-0.007822664978,-0.4482056878,0.02684309342,-0.03817076642,0.05002920762,-0.04174052542,1.537995962,-2.187023817,2.866462449,-2.391555941,-0.003038990803,-0.174121347,-0.9690250868,0.01640006554,1.804011872,-1.995891822,-0.05,0.05,-0.05,0.05
0.578,-9.745721073e-05,-0.005583886858,-0.003943917837,0.02715038909,-0.0297191299,-0.002786031438,-0.2259698468,1.555602707,-1.702780714,-0.159627843,-0.009298690079,-0.5327756966,3.362944461,-9.694002341,17.2727883,-12.11872186,0.05,-0.05,0.05,0.05
0.588,0.001843728105,0.105637839,-0.007093043081,0.03611654773,-0.05623945925,0.01904078315,-0.4064014324,2.069325755,-3.222283657,1.090956513,-0.008175171454,-0.4684028211,-1.39286342,4.979385122,-9.389520878,6.38982633,0.05,-0.05,0.05,-0.05
0.598,-0.0001293667488,-0.007412168717,0.002509276114,0.01474430226,-0.03027112015,0.005185261142,0.143770931,0.8447862913,-1.734407426,0.2970935791,-0.007832280636,-0.4487566244,-4.57446936,9.13415734,-12.41165259,7.693281481,-0.05,-0.05,0.05,-0.05
0.608,0.002163717196,0.1239718634,0.001499935696,-0.0003387436844,-0.01234900507,0.004490329439,0.0859399849,-0.01940858345,-0.7075458719,0.2572769255,-0.006697483622,-0.3837375449,1.384789448,-1.382100793,-3.861952289,5.629618146,-0.03438337475,0.00883446185,0.05,-0.05
0.618,0.003518823125,0.2016137139,-0.005005851014,-0.006133995486,0.0157995782,-0.01235620194,-0.286814136,-0.3514520529,0.9052491488,-0.7079582219,-0.00769647024,-0.4409752619,1.922685902,-5.752609474,11.84155455,-8.319270549,0.05,0.05,-0.05,0.05
0.628,-0.006390590494,-0.3661538639,0.01186775685,-0.0136498911,0.01986335024,-0.01589233434,0.6799723799,-0.7820811507,1.138086136,-0.9105636841,0.00218888166,0.125413681,0.8579433758,-4.628725022,10.78396108,-7.741824943,-0.05,0.05,-0.05,0.05
0.638,-0.005744218572,-0.3291194808,0.00376862823,-0.007643800274,0.03278217569,-0.0278825159,0.2159264921,-0.4379574952,1.87828031,-1.597550483,0.001024487745,0.05869882398,5.460200325,-14.95234795,22.9864481,-13.69235509,-0.05,0.05,-0.05,0.05
0.648,-0.005759406512,-0.3299896856,-0.0004121897885,0.01102419772,-0.01545683999,0.01516483072,-0.02361673524,0.631640002,-0.8856116961,0.8688807971,0.01031999866,0.5912923677,4.004024616,-8.449756777,9.752451793,-4.462669111,0.00506415073,-0.05,0.05,-0.05
0.658,-0.0024051027,-0.137802234,-0.005709051964,0.01054950047,-0.02645337924,0.03507126458,-0.3271045825,0.6044418528,-1.515666984,2.009435443,0.01345833385,0.7711057289,-1.606818065,3.77868605,-7.341870515,5.876439843,0.05,-0.05,0.05,-0.05
0.668,0.0009896144857,0.05670073338,-0.01891967134,0.01878785958,-0.006803778678,0.01355595411,-1.084017317,1.07646506,-0.389827803,0.7766989579,0.006620363676,0.3793188975,-5.335906084,14.63439016,-20.55879671,11.64602237,0.05,-0.05,0.05,-0.05
0.678,-0.01074062412,-0.6153924314,0.008928084445,-0.0003829976715,-0.004027607324,0.01276211872,0.5115415578,-0.02194415014,-0.2307649012,0.7312155402,0.01727959817,0.9900480467,2.35183014,-1.237334985,-2.118801133,2.062668024,-0.05,0.009663283758,0.05,-0.05
0.688,-0.008142627027,-0.4665381628,0.0002059839379,0.01111167935,0.001646262591,-0.004344038411,0.01180201029,0.6366523303,0.09432389843,-0.248895067,0.008619887472,0.493883172,1.812632534,-1.49650274,-0.2643060481,0.3038402443,-0.006344279168,-0.05,-0.03595347095,0.05
