time_s,motor_cmd_rad_s,motor_angle_rad,motor_angle_deg,motor_velocity_rad_s,motor_effort_nm,motor_saturated,left_length_m,right_length_m,left_free_length_m,right_free_length_m,left_extension_m,right_extension_m,left_strain,right_strain,left_length_rate_m_s,right_length_rate_m_s,left_tension_n,right_tension_n,left_overstretch,right_overstretch,j0_q_rad,j0_q_deg,j0_qdot_rad_s,j0_passive_tau_nm,j1_q_rad,j1_q_deg,j1_qdot_rad_s,j1_passive_tau_nm,j2_q_rad,j2_q_deg,j2_qdot_rad_s,j2_passive_tau_nm,j3_q_rad,j3_q_deg,j3_qdot_rad_s,j3_passive_tau_nm,j4_q_rad,j4_q_deg,j4_qdot_rad_s,j4_passive_tau_nm,safety_tripped
0.0005,0,0,0,0,0,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,8.881784197e-13,8.881784197e-13,1.776356839e-11,1.776356839e-11,0,0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0
0.0025,0,3.402736394e-48,1.949624342e-46,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-4.118262441e-31,-2.359590568e-29,-2.905044805e-28,2.676870587e-31,1.064169e-30,6.097239236e-29,7.336778775e-28,-6.917098497e-31,-2.802499074e-30,-1.60571369e-28,-1.900290994e-27,1.821624398e-30,8.781630333e-30,5.031503553e-28,6.079866389e-27,-5.708059717e-30,-8.500484732e-30,-4.87041899e-28,-5.939848681e-27,5.525315076e-30,0
0.0045,0,6.805472789e-48,3.899248684e-46,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-1.241889715e-30,-7.115503927e-29,-4.837442531e-28,8.072283145e-31,2.963729534e-30,1.698091939e-28,1.035370521e-27,-1.926424197e-30,-7.337133941e-30,-4.203868085e-28,-2.314959623e-27,4.769137062e-30,2.479568179e-29,1.420687917e-27,8.83149598e-27,-1.611719316e-29,-2.479256248e-29,-1.420509194e-27,-9.241096707e-27,1.611516561e-29,0
0.0065,0,1.020820918e-47,5.848873026e-46,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-2.395272262e-30,-1.372389914e-28,-6.261451383e-28,1.556926971e-30,4.997060966e-30,2.863105033e-28,9.572053984e-28,-3.248089628e-30,-1.08308055e-29,-6.205594438e-28,-1.207083369e-27,7.040023575e-30,4.267930524e-29,2.445344063e-27,8.613638771e-27,-2.77415484e-29,-4.516958212e-29,-2.588026418e-27,-1.048085162e-26,2.936022838e-29,0
0.0085,0,1.361094558e-47,7.798497368e-46,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-3.778433331e-30,-2.16488283e-28,-7.271837676e-28,2.455981665e-30,6.439607495e-30,3.689623312e-28,5.476796036e-28,-4.185744872e-30,-1.024248144e-29,-5.868509585e-28,1.349028435e-27,6.657612939e-30,5.634012054e-29,3.228051124e-27,5.429355955e-27,-3.662107835e-29,-6.534391147e-29,-3.743930344e-27,-9.610046352e-27,4.247354246e-29,0
0.0105,0,1.701368197e-47,9.74812171e-46,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-5.344450904e-30,-3.062144806e-28,-8.177499884e-28,3.473893087e-30,6.85636508e-30,3.928407819e-28,5.170624142e-30,-4.456637302e-30,-3.358113448e-30,-1.924057277e-28,4.748968127e-27,2.182773741e-30,6.089856114e-29,3.489230532e-27,2.265225201e-28,-3.958406474e-29,-8.172452769e-29,-4.682470519e-27,-7.202464996e-27,5.3120943e-29,0
0.0125,0,2.041641837e-47,1.169774605e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-7.125077299e-30,-4.082368579e-28,-9.406407849e-28,4.631300244e-30,6.336706641e-30,3.630665465e-28,-3.798132671e-28,-4.118859317e-30,1.035298063e-29,5.931820953e-28,8.040730342e-27,-6.729437407e-30,5.423732951e-29,3.107570073e-27,-5.408008113e-27,-3.525426418e-29,-9.244569956e-29,-5.296748419e-27,-4.259218192e-27,6.008970472e-29,0
0.0145,0,2.381915476e-47,1.364737039e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-9.236612527e-30,-5.292189148e-28,-1.13581935e-27,6.003798142e-30,5.566493238e-30,3.189365692e-28,-3.170120906e-28,-3.618220604e-30,2.940612234e-29,1.684846702e-27,1.022449214e-26,-1.911397952e-29,3.766208522e-29,2.157878531e-27,-9.758455978e-27,-2.448035539e-29,-9.782418248e-29,-5.60491279e-27,-1.880141023e-27,6.358571861e-29,0
0.0165,0,2.722189116e-47,1.559699474e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-1.185479785e-29,-6.792298836e-28,-1.425118718e-27,7.705618601e-30,5.703855732e-30,3.268068604e-28,3.860024441e-28,-3.707506226e-30,5.061196294e-29,2.899851869e-27,1.05736416e-26,-3.289777591e-29,1.54635761e-29,8.859976467e-28,-1.153026067e-26,-1.005132446e-29,-1.001070805e-28,-5.735713214e-27,-9.081385794e-28,6.506960235e-29,0
0.0185,0,3.062462755e-47,1.754661908e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-1.516394152e-29,-8.688298497e-28,-1.801383265e-27,9.856561986e-30,8.088162923e-30,4.634175995e-28,1.752586865e-27,-5.2573059e-30,6.994165476e-29,4.00736163e-27,8.873733949e-27,-4.54620756e-29,-6.475249751e-30,-3.71004482e-28,-1.026342456e-26,4.208912338e-30,-1.026009069e-28,-5.878598941e-27,-1.660851749e-27,6.66905895e-29,0
0.0205,0,3.402736394e-47,1.949624342e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-1.929408967e-29,-1.105469908e-27,-2.225745874e-27,1.254115829e-29,1.386622105e-29,7.944759438e-28,3.615642857e-27,-9.013043681e-30,8.367926231e-29,4.794468563e-27,5.502004212e-27,-5.43915205e-29,-2.257669476e-29,-1.293549325e-27,-6.476276424e-27,1.467485159e-29,-1.084709253e-28,-6.214926221e-27,-3.835580997e-27,7.050610146e-29,0
0.0225,0,3.743010034e-47,2.144586776e-45,1.701368197e-45,-6.380130739e-48,0,0.2808969141,0.2808969141,0.2808969141,0.2808969141,4.440892099e-16,4.440892099e-16,1.580968632e-15,1.580968632e-15,0,0,8.881784197e-12,8.881784197e-12,0,0,-2.426446094e-29,-1.390251204e-27,-2.634239314e-27,1.577189961e-29,2.364807333e-29,1.354934796e-27,5.653962683e-27,-1.537124767e-29,8.950024274e-29,5.127986174e-27,1.320944357e-27,-5.817515778e-29,-2.935806006e-29,-1.682092936e-27,-1.493693416e-27,1.908273904e-29,-1.196047641e-28,-6.852848191e-27,-6.617362247e-27,7.774309665e-29,0
